id,sinif,kod,mezmun_sahesi,bloom_taksonomiyasi,cetinlik_seviyyesi,status,standart_metni,xarakteristika,kohne_standart_metni,yaradilma_tarixi
1014,1,Az_dili_I_1.4.1,Dinləmə və danışma,Tətbiq,asan,deyismeyib,Cümlə qurarkən düzgün söz sırasına əməl edir.,CEFR A1 səviyyəsindəki əsas sintaksis qaydaları və bütün beynəlxalq çərçəvələrdəki dil normaları tələblərinə uyğundur. Estoniya kurikulumunda da cümlə qurma bu səviyyədə əsasdır.,Cümlə qurarkən düzgün söz sırasına əməl edir.,2026-03-20 11:57:04.250827
1015,1,Az_dili_I_1.4.2,Dinləmə və danışma,Tətbiq,asan,deyismeyib,Danışarkən məzmuna uyğun intonasiyadan istifadə edir.,İrlandiya modelindəki şifahi ifadə və CEFR A1 səviyyəsindəki ekspressiv nitq tələblərinə uyğundur. İntonasiya istifadəsi bu sinif üçün məqsədəuyğundur.,Danışarkən məzmuna uyğun intonasiyadan istifadə edir.,2026-03-20 11:57:04.251873
1137,1,Az_dili_I_1.5.1,Dinləmə və danışma,Tetbiq,asan,yeni_yazilmis,Vizual əlaqə: Müzakirə zamanı müvafiq jest və mimikalardan istifadə edir.,CEFR A1 səviyyəsi üçün qeyri-verbal ünsiyyət bacarıqları vacibdir. Finlandiya və Estoniya kurikulumlarında vizual əlaqə bacarıqları erkən yaşlardan öyrədilir.,"",2026-03-20 12:48:28.445341
1016,1,Az_dili_I_2.1.1,Oxu,Xatırlama,asan,yenilenib,İlkin oxu bacarığı nümayiş etdirir və hər hərfi düzgün tanıyır.,Köhnə standart çox ümumi idi və ölçülə bilən nəticə vermirdi. PIRLS çərçəvəsində hərfləri tanıma və səs-hərf uyğunluğu əsasdır. Finlandiya modelində fonetik şüur və Sinqapur STELLAR proqramında sistematik hərfləri öyrənmə daha dəqiqdir. Yeni standart konkret hərfləri tanıma bacarığını ölçməyə imkan verir.,İlkin oxu bacarığı nümayiş etdirir.,2026-03-20 11:57:04.252787
1017,1,Az_dili_I_2.1.2,Oxu,Tətbiq,asan,deyismeyib,Cümlə sonunda durğu işarələrini nəzərə almaqla oxuyur.,PIRLS çərçəvəsindəki ifadəli oxu və CEFR A1 səviyyəsindəki əsas intonasiya tələblərinə uyğundur. Yaponiya Kokugo standartlarında da punktuasiya ilə oxumaq bu səviyyədə əsasdır.,Cümlə sonunda durğu işarələrini nəzərə almaqla oxuyur.,2026-03-20 11:57:04.253678
1018,1,Az_dili_I_2.2.1,Oxu,Xatırlama,asan,deyismeyib,"Oxuduğu mətndəki hadisələri, obrazları, zaman və məkanı müəyyənləşdirir.",PIRLS çərçəvəsindəki aydın məlumatın tapılması və CEFR A1 səviyyəsindəki faktoloji anlama tələblərinə tam uyğundur. Ontario modelində də əsas mətn elementləri bu səviyyədə əsasdır.,"Oxuduğu mətndəki hadisələri, obrazları, zaman və məkanı müəyyənləşdirir.",2026-03-20 11:57:04.254548
1019,1,Az_dili_I_2.2.2,Oxu,Anlama,asan,deyismeyib,Verbal informasiyanı qrafik təsvirlə uyğunlaşdırır.,PISA çoxmodal oxu və Finlandiya modelindəki mətn-şəkil inteqrasiyası tələblərinə uyğundur. Vizual və verbal məlumatın birləşdirilməsi bu sinif üçün məqsədəuyğundur.,Verbal informasiyanı qrafik təsvirlə uyğunlaşdırır.,2026-03-20 11:57:04.255781
1020,1,Az_dili_I_2.2.3,Oxu,Anlama,asan,deyismeyib,Mətndə rast gəldiyi söz və ifadələrin mənasını anladığını nümayiş etdirir.,PIRLS çərçəvəsindəki leksik anlama və CEFR A1 səviyyəsindəki söz hazinəsi tələblərinə uyğundur. Estoniya kurikulumunda da kontekstdən söz mənası anlama bu səviyyədə əsasdır.,Mətndə rast gəldiyi söz və ifadələrin mənasını anladığını nümayiş etdirir.,2026-03-20 11:57:04.256838
1021,1,Az_dili_I_2.3.1,Oxu,Analiz,orta,yenilenib,Mətndəki hadisələr arasındakı səbəb-nəticə əlaqəsini müəyyən edir və sadə nəticələr çıxarır.,"Köhnə standartda yalnız əlaqəni müəyyən etmək var idi, lakin PIRLS çərçəvəsində birbaşa nəticə çıxarma və Yaponiya Kokugo standartlarında məntiq əlaqələrini anlama daha ətraflıdır. Sinqapur STELLAR proqramında kritik düşüncə və Finlandiya modelindəki analitik oxu bacarıqları tələb edilir. Yeni standart nəticə çıxarma bacarığını da əhatə edir.",Mətndəki hadisələr arasındakı səbəb-nəticə əlaqəsini müəyyən edir.,2026-03-20 11:57:04.258157
1022,1,Az_dili_I_2.3.2,Oxu,Anlama,asan,deyismeyib,Obrazların xarakterindəki əsas xüsusiyyəti müəyyən edir.,PIRLS çərçəvəsindəki karakter anlama və CEFR A1 səviyyəsindəki sadə təsvir anlama tələblərinə uyğundur. Ontario modelində də karakter xüsusiyyətləri bu səviyyədə məqsədəuyğundur.,Obrazların xarakterindəki əsas xüsusiyyəti müəyyən edir.,2026-03-20 11:57:04.259168
1023,1,Az_dili_I_2.3.3,Oxu,Anlama,orta,deyismeyib,Mətndə əsas fikri müəyyən edir.,PIRLS çərçəvəsindəki əsas ideya müəyyən etmə və PISA oxu çərçəvəsindəki mərkəzi məna anlama tələblərinə uyğundur. Yaponiya Kokugo standartlarında da əsas fikir bu səviyyədə əsasdır.,Mətndə əsas fikri müəyyən edir.,2026-03-20 11:57:04.260223
1024,1,Az_dili_I_2.4.1,Oxu,Qiymətləndirmə,orta,deyismeyib,Mətndəki obrazlara və onların davranışına münasibətini bildirir.,PIRLS çərçəvəsindəki məzmun qiymətləndirmə və PISA oxu çərçəvəsindəki əks etdirmə tələblərinə uyğundur. Ontario modelində də şəxsi reaksiya bu səviyyədə məqsədəuyğundur.,Mətndəki obrazlara və onların davranışına münasibətini bildirir.,2026-03-20 11:57:04.261191
1025,1,Az_dili_I_2.4.2,Oxu,Yaratma,orta,deyismeyib,Təxəyyülündən çıxış edərək mətnin məzmununa yaradıcı yanaşır.,Yaponiya Kokugo standartlarındakı yaradıcı ifadə və Ontario modelindəki yaradıcılıq tələblərinə uyğundur. Təxəyyül və yaradıcı yanaşma bu sinif üçün inkişafedici faktordur.,Təxəyyülündən çıxış edərək mətnin məzmununa yaradıcı yanaşır.,2026-03-20 11:57:04.262422
1026,1,Az_dili_I_2.4.3,Oxu,Anlama,orta,deyismeyib,Nəzm və nəsrlə yazılmış mətnlərin məzmun-struktur xüsusiyyətlərini müəyyən edir.,PIRLS çərçəvəsindəki mətn növləri və Yaponiya Kokugo standartlarındakı ədəbi forma anlama tələblərinə uyğundur. Nəzm və nəsri fərqləndirmək bu səviyyədə məqsədəuyğundur.,Nəzm və nəsrlə yazılmış mətnlərin məzmun-struktur xüsusiyyətlərini müəyyən edir.,2026-03-20 11:57:04.263347
1138,1,Az_dili_I_2.5.1,Oxu,Analiz,orta,yeni_yazilmis,"Multimodal oxu: Şəkilli mətnləri (komikslər, diaqramlar) oxuyur və təhlil edir.",PIRLS 2021-də multimodal mətnlərin oxunması əsas bacarıqlardandır. Sinqapur və Kanada kurikulumlarında vizual savadlılıq erkən mərhələlərdən daxil edilir.,"",2026-03-20 12:48:28.448163
1027,1,Az_dili_I_3.1.1,Yazı,Tətbiq,asan,deyismeyib,Yazısında hüsnxət normalarına riayət edir.,CEFR A1 səviyyəsindəki yazı texnikası və Yaponiya Kokugo standartlarındakı kaliqrafiya tələblərinə uyğundur. Hüsnxət bu sinif üçün əsas motor bacarıqdır.,Yazısında hüsnxət normalarına riayət edir.,2026-03-20 11:57:04.26428
1028,1,Az_dili_I_3.1.2,Yazı,Tətbiq,asan,deyismeyib,Yazısında hadisələrin ardıcıllığına riayət edir.,CEFR A1 səviyyəsindəki mətn təşkili və Ontario modelindəki mətn strukturu tələblərinə uyğundur. Ardıcıllıq bu sinif üçün əsas yazı bacarığıdır.,Yazısında hadisələrin ardıcıllığına riayət edir.,2026-03-20 11:57:04.265493
1029,1,Az_dili_I_3.1.3,Yazı,Tətbiq,asan,deyismeyib,Öyrəndiyi sadə orfoqrafiya və punktuasiya qaydalarına yazısında riayət edir.,CEFR A1 səviyyəsindəki yazı normaları və Estoniya kurikulumundakı təməl orfoqrafiya tələblərinə tam uyğundur. Sadə qaydalar bu sinif üçün məqsədəuyğundur.,Öyrəndiyi sadə orfoqrafiya və punktuasiya qaydalarına yazısında riayət edir.,2026-03-20 11:57:04.26682
1030,1,Az_dili_I_3.2.1,Yazı,Tətbiq,asan,deyismeyib,Bildiyi məlumatları yazıda əks etdirir.,CEFR A1 səviyyəsindəki sadə yazı və Ontario modelindəki şəxsi məlumat paylaşımı tələblərinə uyğundur. Bildiklərini yazıda ifadə etmək bu səviyyədə əsasdır.,Bildiyi məlumatları yazıda əks etdirir.,2026-03-20 11:57:04.267988
1031,1,Az_dili_I_3.2.2,Yazı,Tətbiq,orta,deyismeyib,Verilmiş plan əsasında mövzu ilə bağlı fikirlərini yazır.,Ontario modelindəki strukturlu yazı və Finlandiya yanaşmasındakı plan əsaslı yazı tələblərinə uyğundur. Plan əsasında yazı bu sinif üçün mühüm bacarıqdır.,Verilmiş plan əsasında mövzu ilə bağlı fikirlərini yazır.,2026-03-20 11:57:04.269063
1032,1,Az_dili_I_3.2.3,Yazı,Tətbiq,asan,deyismeyib,"Sadə əməli yazılar (anket, açıqca) yazır.",CEFR A1 səviyyəsindəki praktik yazı və Sinqapur STELLAR proqramındakı real həyat yazı tələblərinə uyğundur. Əməli yazı bu sinif üçün məqsədəuyğundur.,"Sadə əməli yazılar (anket, açıqca) yazır.",2026-03-20 11:57:04.270048
1033,1,Az_dili_I_3.2.4,Yazı,Tətbiq,orta,deyismeyib,Təqdimat üçün müxtəlif vizual forma və üsullar seçir.,İrlandiya modelindəki multimodal təqdimat və PISA 2025 çoxmodal yazı tələblərinə uyğundur. Vizual forma seçimi bu sinif üçün inkişafedici bacarıqdır.,Təqdimat üçün müxtəlif vizual forma və üsullar seçir.,2026-03-20 11:57:04.271023
1140,1,Az_dili_I_3.3.1,Yazı,Qiymetlendirme,orta,yeni_yazilmis,Redaktə və təkmilləşdirmə: Yazısını yenidən oxuyaraq sadə səhvləri düzəldir.,PISA yazı bacarıqlarında redaktə prosesi əsasdır. Finlandiya və Estoniya kurikulumlarında özünü qiymətləndirmə bacarıqları erkən yaşlardan inkişaf etdirilir.,"",2026-03-20 12:48:28.450516
1040,2,Az_dili_II_4.1.1,Dil qaydaları,Xatırlama,asan,deyismeyib,Saitlərin növlərini müəyyən edir.,CEFR A1 səviyyəsi və 2-ci sinif üçün Bloom xatırlama səviyyəsi tamamilə uyğundur. PIRLS fonetik bilik bazası tələbini ödəyir və əsas dil qaydalarının mənimsənilməsi üçün vacibdir.,Saitlərin növlərini müəyyən edir.,2026-03-20 12:03:42.117836
1041,2,Az_dili_II_4.1.2,Dil qaydaları,Xatırlama,asan,deyismeyib,Sözlərin əlifba sırasına uyğun ardıcıllığını müəyyən edir.,2-ci sinif CEFR A1 səviyyəsi üçün əlifba bilgisi əsas bacarıqdır. PIRLS informasiya axtarışı bacarıqlarının əsasını qoyur və lüğət istifadə bacarığı üçün vacibdir.,Sözlərin əlifba sırasına uyğun ardıcıllığını müəyyən edir.,2026-03-20 12:03:42.118797
1039,2,Az_dili_II_4.1.3,Dil qaydaları,Tətbiq,asan,yenilenib,Yazıda sadə orfoqrafik normalarına riayət edir və yazı səhvlərini özünü yoxlamaqla düzəldir.,"Köhnə standartda yalnız passiv norma riayəti var idi, öz-özünə yoxlama və səhv düzəltmə bacarığı yox idi. Yeni mətn Finlandiya və Sinqapur modelindəki metakognitiv strategiyaları əks etdirir - şagird yalnız yazmır, həm də öz yazısını təhlil edə bilir. Bu, PIRLS 2026-nın özünüidarəetmə komponentinə və müasir təhsilin refleksiv düşüncə tələbinə cavab verir.",Yazıda sadə orfoqrafik normalarına riayət edir.,2026-03-20 12:03:42.115267
1042,2,Az_dili_II_4.2.1,Dil qaydaları,Anlama,asan,deyismeyib,"Ad, əlamət, say, hərəkət bildirən sözlərin ümumi qrammatik mənalarını və morfoloji tərkibini müəyyən edir.",Standart CEFR A1 səviyyəsində əsas qrammatik anlayışları əhatə edir və PIRLS dil strukturu anlayışı tələbinə cavab verir. Yaş səviyyəsi üçün uyğundur.,"Ad, əlamət, say, hərəkət bildirən sözlərin ümumi qrammatik mənalarını və morfoloji tərkibini müəyyən edir.",2026-03-20 12:03:42.11975
1043,2,Az_dili_II_4.2.2,Dil qaydaları,Anlama,asan,deyismeyib,"Cümlənin ifadə etdiyi fikri müəyyən edir, məqsəd və intonasiyaya görə növlərini fərqləndirir.",PIRLS mətn strukturu anlayışı və CEFR A1 əsas cümlə quruluşu tələblərini ödəyir. Şifahi və yazılı komunikasiya üçün zəruridir.,"Cümlənin ifadə etdiyi fikri müəyyən edir, məqsəd və intonasiyaya görə növlərini fərqləndirir.",2026-03-20 12:03:42.120637
1045,2,Az_dili_II_4.3.1,Dil qaydaları,Tətbiq,asan,deyismeyib,Cümlə sonunda müvafiq durğu işarələrindən istifadə edir.,CEFR A1 əsas yazı bacarıqları və PIRLS mətn anlayışı üçün fundamental bacarıqdır. 2-ci sinif üçün uyğun çətinlik səviyyəsi.,Cümlə sonunda müvafiq durğu işarələrindən istifadə edir.,2026-03-20 12:03:42.123243
1044,2,Az_dili_II_4.3.2,Dil qaydaları,Tətbiq,asan,deyismeyib,Vergül işarəsindən istifadə ilə bağlı sadə qaydalara əməl edir.,CEFR A1 yazı normalarına uyğundur və PIRLS mətn strukturu anlayışının inkişafı üçün vacibdir. Bloom tətbiq səviyyəsi yaş qrupuna uyğundur.,Vergül işarəsindən istifadə ilə bağlı sadə qaydalara əməl edir.,2026-03-20 12:03:42.121978
1046,2,Az_dili_II_4.4.1,Dil qaydaları,Anlama,asan,deyismeyib,Kontekstdən çıxış edərək sözün mənasını müəyyən edir.,PISA məlumat əldə etmə və PIRLS interpretasiya bacarıqlarının əsasını təşkil edir. CEFR A1 leksik bacarıqlarına tam uyğundur.,Kontekstdən çıxış edərək sözün mənasını müəyyən edir.,2026-03-20 12:03:42.124317
1047,2,Az_dili_II_4.4.2,Dil qaydaları,Anlama,asan,deyismeyib,Sözlərin mənalarını müxtəlif üsullarla izah edir.,PIRLS leksik bacarıqlar və PISA interpretasiya tələblərinə uyğundur. Sözlük inkişafı üçün vacib komponentdir.,Sözlərin mənalarını müxtəlif üsullarla izah edir.,2026-03-20 12:03:42.125361
1144,2,Az_dili_II_4.5.1,Dil qaydaları,Tetbiq,asan,yeni_yazilmis,"Dil funksiyalarını tətbiq edir: Təbrik etmə, xahiş etmə, təşəkkür etmə kimi sadə dil funksiyalarını müvafiq kontekstdə istifadə edir.",CEFR A1 səviyyəsinin funksional dil istifadəsi tələbinə əsasən - pragmatik kompetensiya boşluğunu doldurur,"",2026-03-20 12:49:23.137506
1049,2,Az_dili_II_1.1.1,Dinləmə və danışma,Xatırlama,asan,deyismeyib,Dinlədiyi mətndəki əsas məqamlarla bağlı faktoloji suallara cavab verir.,PISA məlumat axtarışı və PIRLS faktoloji qavrama bacarıqlarının tam əsasını təşkil edir. 2-ci sinif üçün fundamental dinləmə bacarığıdır.,Dinlədiyi mətndəki əsas məqamlarla bağlı faktoloji suallara cavab verir.,2026-03-20 12:03:42.127252
1048,2,Az_dili_II_1.1.2,Dinləmə və danışma,Anlama,asan,yenilenib,Dinlədiyi mətnin məzmununu öz sözləri ilə izah edir və əsas ideya haqqında sadə münasibət bildirir.,Köhnə standartda 'şərh etmək' 2-ci sinif CEFR A1 üçün çox mücərrəd idi və nəyin necə ediləcəyi aydın deyildi. Yeni mətn Finlandiya modelindəki mərhələli öyrənmə yanaşmasını və Sinqapur STELLAR proqramının sadə dildə ifadə etmə strategiyasını əks etdirir. PIRLS əsas məzmun anlayışı tələbinə uyğun olaraq 'öz sözləri ilə' komponenti əlavə edilib.,"Dinlədiyi mətnin məzmununu şərh edir, obraz və fikirlərə münasibət bildirir.",2026-03-20 12:03:42.126345
1050,2,Az_dili_II_1.1.3,Dinləmə və danışma,Anlama,asan,yenilenib,Dinlədiyi mətndəki hadisələr əsasında sadə proqnozlar verir.,"Köhnə standart 'genişləndirmək' və 'təxmin etmək' kimi iki fərqli bacarığı qarışdırırdı və 2-ci sinif üçün çox qeyri-müəyyən idi. Yeni mətn PIRLS inferensial oxu bacarıqlarına uyğun olaraq yalnız proqnoz verməyə fokuslanır və Yaponiya Kokugo modelindəki məntiqli nəticə çıxarma yanaşmasından istifadə edir. Bu, həm daha aydın ölçülə bilən, həm də CEFR A1 səviyyəsinə uyğundur.","Dinlədiyi mətni genişləndirir, davamını təxmin edir.",2026-03-20 12:03:42.128255
1051,2,Az_dili_II_1.2.1,Dinləmə və danışma,Anlama,asan,deyismeyib,Həyatdan və əldə etdiyi məlumatlardan nümunələr gətirməklə dinlədiyi fikrə münasibət bildirir.,PISA əks etdirmə və qiymətləndirmə bacarıqlarının A1 səviyyədəki təzahürüdür. Ontario modelindəki real həyat əlaqəsi prinsipinə uyğundur.,Həyatdan və əldə etdiyi məlumatlardan nümunələr gətirməklə dinlədiyi fikrə münasibət bildirir.,2026-03-20 12:03:42.129312
1052,2,Az_dili_II_1.2.2,Dinləmə və danışma,Tətbiq,asan,deyismeyib,Mövzu üzrə əvvəlcədən müəyyənləşdirdiyi suallar əsasında dialoq qurur.,CEFR A1 əsas interaktiv kommunikasiya tələblərinə uyğundur və Sinqapur STELLAR modelindəki strukturlaşdırılmış dialoq yanaşmasını əks etdirir.,Mövzu üzrə əvvəlcədən müəyyənləşdirdiyi suallar əsasında dialoq qurur.,2026-03-20 12:03:42.130586
1054,2,Az_dili_II_1.3.1,Dinləmə və danışma,Anlama,asan,deyismeyib,Oxuduğu və dinlədiyi mətnləri plan əsasında nəql edir.,PIRLS mətn strukturu anlayışı və PISA inteqrasiya bacarıqlarının əsasını qoyur. 2-ci sinif üçün optimal çətinlik səviyyəsidir.,Oxuduğu və dinlədiyi mətnləri plan əsasında nəql edir.,2026-03-20 12:03:42.13285
1055,2,Az_dili_II_1.3.2,Dinləmə və danışma,Anlama,asan,deyismeyib,"Şəkil, sxem və illustrasiyaları rabitəli şəkildə şifahi təqdim edir.",Finlandiya çoxmodal mətn anlayışı və PIRLS 2026 vizual məlumat interpretasiyası tələblərinə cavab verir. Multimodal savadlılığın əsasını qoyur.,"Şəkil, sxem və illustrasiyaları rabitəli şəkildə şifahi təqdim edir.",2026-03-20 12:03:42.133766
1053,2,Az_dili_II_1.3.3,Dinləmə və danışma,Tətbiq,asan,deyismeyib,"Hər hansı hadisə, varlıq haqqında fikir və təəssüratlarını ifadə edir.",CEFR A1 şəxsi ifadə bacarıqları və Yaponiya modelindəki estetik duyum inkişafına uyğundur. Kritik düşüncənin ilkin formalarını təşviq edir.,"Hər hansı hadisə, varlıq haqqında fikir və təəssüratlarını ifadə edir.",2026-03-20 12:03:42.131885
